n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max,PTC_min,KAKTUS_min,PTC_max,KAKTUS_max
25,5,600,6451,slike_min/graf_min_mu5_n25.png,slike_max/graf_max_mu5_n25.png,XG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@???@,XA??G?OA?AG???GO??O?`OC??a@?@?H?A??OAA?CC???P???@O?,true,true,false,false
26,5,636,6999,slike_min/graf_min_mu5_n26.png,slike_max/graf_max_mu5_n26.png,YG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@???@????_,YA??G?OA??????G???O?`_W??a@?@?GCA???AA?CC???P???@OGO@?C?,true,true,false,false
27,5,673,7601,slike_min/graf_min_mu5_n27.png,slike_max/graf_max_mu5_n27.png,ZG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@???@????_???G,ZA??G?O?A?????G????A`aC?@a@?@?GCA???AA????@?OG??@OAO@???`???,true,true,false,false
28,5,711,8223,slike_min/graf_min_mu5_n28.png,slike_max/graf_max_mu5_n28.png,[G?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@,[?C?G?O???????G????A`_C?@a@?@?GCA???aA????@?OG??@?AW@???`??A@???,true,true,false,false
29,5,750,8829,slike_min/graf_min_mu5_n29.png,slike_max/graf_max_mu5_n29.png,\G?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C,\?C?G?G????@?OG????A__CG?a@???GCAO@??A?C????OG??@G?W@???`??A@???A????,true,true,false,false
30,5,790,9511,slike_min/graf_min_mu5_n30.png,slike_max/graf_max_mu5_n30.png,]G?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G,]?C?G?G??????OG????A??CK?a@???G?IO@????c?_??O?A?@G?W@???`??A@???O?????G?G?,true,true,false,false
10,6,310,1351,slike_min/graf_min_mu6_n10.png,slike_max/graf_max_mu6_n10.png,I@a?aB~OG,IPq?ih_Ag,false,false,false,false
11,6,315,1742,slike_min/graf_min_mu6_n11.png,slike_max/graf_max_mu6_n11.png,JAI?@RuSGD?,JWe@a_AQGJ?,false,false,false,false
12,6,330,2161,slike_min/graf_min_mu6_n12.png,slike_max/graf_max_mu6_n12.png,K?H?@R]?gDQC,KGe`__AOOJOE,false,false,false,false
13,6,359,2628,slike_min/graf_min_mu6_n13.png,slike_max/graf_max_mu6_n13.png,L?`?`B{C`?OCGQ,LGD@_aAGSI?EB@,false,false,false,false
14,6,389,3145,slike_min/graf_min_mu6_n14.png,slike_max/graf_max_mu6_n14.png,M?_?`B[C`?OCKQOG?,MADa?aA?CA@E@Ei??,false,false,false,false
15,6,420,3698,slike_min/graf_min_mu6_n15.png,slike_max/graf_max_mu6_n15.png,N?_?`B[C`?OCKQOG?_?,NADa?_AG?B@A?EgOPO?,false,false,false,false
16,6,409,4317,slike_min/graf_min_mu6_n16.png,slike_max/graf_max_mu6_n16.png,O?Ao`@KC_c@CGOOG?_?G@,OADc?`Ag?A???I?SP?`?K,false,false,false,false
17,6,440,4974,slike_min/graf_min_mu6_n17.png,slike_max/graf_max_mu6_n17.png,P?Ao`@KC_c@CGOOG?_?G@_??,PADC??AH?a@??I_SO?`@GO_?,false,false,false,false
18,6,429,5663,slike_min/graf_min_mu6_n18.png,slike_max/graf_max_mu6_n18.png,Q?_o`JKC__?C@?OG?_?G@C??O?G,Q?N????H?a???i_P??`@@A@@A?G,true,true,false,false
19,6,460,6393,slike_min/graf_min_mu6_n19.png,slike_max/graf_max_mu6_n19.png,R?_o`JKC__?C@?OG?_?G@C??O?G?O?,ROB?K_??go???I?P?C`?@A@@??HO??,true,true,false,false
20,6,492,7232,slike_min/graf_min_mu6_n20.png,slike_max/graf_max_mu6_n20.png,S?_o`JKC__?C@?OG?_?G@C??O?G?O??G?,SQ@?K_??_????M?R?O@?@?@@G?HP???H?,true,true,false,false
21,6,525,8080,slike_min/graf_min_mu6_n21.png,slike_max/graf_max_mu6_n21.png,T?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A?,TU@?C?G?_????M?R?O@?@?@?K?HO???H@?O?,true,true,false,false
22,6,559,8959,slike_min/graf_min_mu6_n22.png,slike_max/graf_max_mu6_n22.png,U?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A????_,UE@?L?G@?????M?R?O@?@???G??O?_?HO??KC?@?,true,true,false,false
23,6,594,9893,slike_min/graf_min_mu6_n23.png,slike_max/graf_max_mu6_n23.png,V?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A????_??A?,VA@?D?G@?A??AC?F?O@?@?@????O?_?@O?_Kc?@?c???,true,true,false,false
24,6,630,10863,slike_min/graf_min_mu6_n24.png,slike_max/graf_max_mu6_n24.png,W?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A????_??A???C,Wa?G@?G_?AG?@C?E??@C@?@????O??@@O??EC_@?K???@?C,true,true,false,false
25,6,667,11883,slike_min/graf_min_mu6_n25.png,slike_max/graf_max_mu6_n25.png,X?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A????_??A???C???C,XA??@?G??A??BC_E??@C@_??O??O??@@O??E?@@?KG??G?Co???,true,true,false,false
26,6,705,12965,slike_min/graf_min_mu6_n26.png,slike_max/graf_max_mu6_n26.png,Y?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A????_??A???C???C???A?,YC??_?G??Ac?@C?AG?@G@?C?O??O?A@?O??A??@_K???G_Co???_?O??,true,true,false,false
27,6,744,14055,slike_min/graf_min_mu6_n27.png,slike_max/graf_max_mu6_n27.png,Z?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A????_??A???C???C???A????_,ZC??_?G??Ac?@C??G?@G@?C?A??O?A@?O??A??@_K???G_Co???_OO???C??,true,true,false,false
28,6,784,15224,slike_min/graf_min_mu6_n28.png,slike_max/graf_max_mu6_n28.png,[?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A????_??A???C???C???A????_???C,[????@G??Ac?DC????@_??C?A@?O??@?O??A??@_K???G_CO?G?_OO?C?C?C???C,true,true,false,false
29,6,825,16508,slike_min/graf_min_mu6_n29.png,slike_max/graf_max_mu6_n29.png,\?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A????_??A???C???C???A????_???C????O,\????@?@GAC@@???H??_??C?A@?O???OO??A??@_K????_C????_OO???C?S_??CG?c??,true,true,false,false
30,6,867,17766,slike_min/graf_min_mu6_n30.png,slike_max/graf_max_mu6_n30.png,]?_o`JKC__?C@?OG?_?G@C??O?G?O??G??A????_??A???C???C???A????_???C????O????_,]?C??@??GAC@????H?????C?A@?_???OO??A??@_K?_??_C????_OO???S?S???CG?c??CO???,true,true,false,false
10,7,429,2008,slike_min/graf_min_mu7_n10.png,slike_max/graf_max_mu7_n10.png,I?Oc_R~HG,ICRbcO[GW,false,false,false,false
11,7,415,2736,slike_min/graf_min_mu7_n11.png,slike_max/graf_max_mu7_n11.png,J@?K?Z~OG`?,JCXPcOCG]D?,false,false,false,false
12,7,426,3458,slike_min/graf_min_mu7_n12.png,slike_max/graf_max_mu7_n12.png,K@?K?R~OG`OC,K@XPcQC?]??R,false,false,false,false
13,7,414,4579,slike_min/graf_min_mu7_n13.png,slike_max/graf_max_mu7_n13.png,L??@?R~OGhOC?K,LHOW?QC?]CAQgO,false,false,false,false
14,7,446,5506,slike_min/graf_min_mu7_n14.png,slike_max/graf_max_mu7_n14.png,M??@?P~?GhO?OK_H?,MXOY?OC?GE?Q_ICS?,false,false,false,false
15,7,479,6547,slike_min/graf_min_mu7_n15.png,slike_max/graf_max_mu7_n15.png,NA?H?BTGgWOCOG?W?K?,NYOGOCP??AOQ`GCC?b?,false,false,false,false
16,7,466,7664,slike_min/graf_min_mu7_n16.png,slike_max/graf_max_mu7_n16.png,O??HCBZG_W?CCGB?GC?@G,OHOGO?OC?EOQ`G?C?gLA?,false,false,false,false
17,7,499,8855,slike_min/graf_min_mu7_n17.png,slike_max/graf_max_mu7_n17.png,P??HCBZG_W?CCGB?G??@GO?G,PO?Go?oC?EOI@GOCGGS??Q?C,false,false,false,false
18,7,533,10168,slike_min/graf_min_mu7_n18.png,slike_max/graf_max_mu7_n18.png,Q??HCBZG_W?CCGB?G??@GO?G?_?,QO?Go?o??EOB@GOCGGSO?O?CO@?,false,false,false,false
19,7,568,11563,slike_min/graf_min_mu7_n19.png,slike_max/graf_max_mu7_n19.png,R??HCBZG_W?CCGB?G??@GO?G?_???G,RO?Go?_??EOI@G?CGGSO???CO`A?AO,false,false,false,false
20,7,553,13028,slike_min/graf_min_mu7_n20.png,slike_max/graf_max_mu7_n20.png,S?OHCAPG_W?CCGO?G??@GO?H??A??I@_?,SO??_?_??S?J@W?CGG@O???CS@A?AU_??,true,true,false,false
21,7,588,14588,slike_min/graf_min_mu7_n21.png,slike_max/graf_max_mu7_n21.png,T?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@?,TO??_?_??S@I@W?CGG@O???CS@A??E_???@I,true,true,false,false
22,7,624,16242,slike_min/graf_min_mu7_n22.png,slike_max/graf_max_mu7_n22.png,U?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@????G,UO??_G__?S@??W?CGG_O??GCE@??AE_????IO??G,true,true,false,false
23,7,661,17952,slike_min/graf_min_mu7_n23.png,slike_max/graf_max_mu7_n23.png,V?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@????G???_,VO???GcC?S@??S?CGG_O??GCA@??AA_????IO??K?OA?,true,true,false,false
24,7,699,19817,slike_min/graf_min_mu7_n24.png,slike_max/graf_max_mu7_n24.png,W?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@????G???_??@,WO???GcC?S@??S??_G_o??G?A@??AE_????I?@?CC??G??E,true,true,false,false
25,7,738,21731,slike_min/graf_min_mu7_n25.png,slike_max/graf_max_mu7_n25.png,X?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@????G???_??@???@,XO???GcC?S@?@C?_?Gao??G??P??AE?????I??GCC?????E???S,true,true,false,false
26,7,778,23752,slike_min/graf_min_mu7_n26.png,slike_max/graf_max_mu7_n26.png,Y?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@????G???_??@???@????_,YO????cC?S@G@C?_?GAo??G??O??AM?????I??GCC?????E???S@O???,true,true,false,false
27,7,819,25710,slike_min/graf_min_mu7_n27.png,slike_max/graf_max_mu7_n27.png,Z?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@????G???_??@???@????_???G,ZO?A??c??O@GGC?a?G?o??G??O??AM?????I??GC??????E???S@O??A?@@?,true,true,false,false
28,7,861,28017,slike_min/graf_min_mu7_n28.png,slike_max/graf_max_mu7_n28.png,[?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@????G???_??@???@????_???G???@,[O?A??C??S@GGC?A_G?_G?G?CO??AA?????G??GC_?????U???S@O????@@C??A?,true,true,false,false
29,7,904,30281,slike_min/graf_min_mu7_n29.png,slike_max/graf_max_mu7_n29.png,\?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@????G???_??@???@????_???G???@????C,\O??O?CG?C??G??A_G?oG?G?CO??AA?????G??G?_?????U???S@P????@@C??AOQ????,true,true,false,false
30,7,948,32566,slike_min/graf_min_mu7_n30.png,slike_max/graf_max_mu7_n30.png,]?OHCAPG_W?CCGO?G??@GO?H??A??I@_??@????G???_??@???@????_???G???@????C????G,]O??O?CG?C?G???A?G?CG?G?CO??AA?C???G??G@_?????S???S@@????O@C??C_QC??????__,true,true,false,false
10,8,611,3017,slike_min/graf_min_mu8_n10.png,slike_max/graf_max_mu8_n10.png,I???F~~?W,IHolAHUcO,false,false,false,false
11,8,687,4131,slike_min/graf_min_mu8_n11.png,slike_max/graf_max_mu8_n11.png,J??GF~r?WB?,J@wDIDSc@I_,false,false,false,false
12,8,569,5573,slike_min/graf_min_mu8_n12.png,slike_max/graf_max_mu8_n12.png,K??CAR~DH@OS,K?wciDSC@Aoa,false,false,false,false
13,8,575,7405,slike_min/graf_min_mu8_n13.png,slike_max/graf_max_mu8_n13.png,LK?GOB~?H@OC?[,L?ocaDSC@AoaM?,false,false,false,false
14,8,558,9711,slike_min/graf_min_mu8_n14.png,slike_max/graf_max_mu8_n14.png,MK?OOB~?X@?C?G?H_,M?oCADS@@AqAM?H_?,false,false,false,false
15,8,595,11578,slike_min/graf_min_mu8_n15.png,slike_max/graf_max_mu8_n15.png,NK??O@~?H@?C@W?LQ??,N?oCA?S@@AqAM?H_?[?,false,false,false,false
16,8,633,13704,slike_min/graf_min_mu8_n16.png,slike_max/graf_max_mu8_n16.png,OK??OH~?H@?C@G?LO?C?@,OAOCA?S@@Au?A??c_[CW?,false,false,false,false
17,8,562,15888,slike_min/graf_min_mu8_n17.png,slike_max/graf_max_mu8_n17.png,P???OHnGG@a?OG?GO?C`H?GO,P?OCa@S@@?e?I??s?@CW?_OG,false,false,false,false
18,8,598,18525,slike_min/graf_min_mu8_n18.png,slike_max/graf_max_mu8_n18.png,Q???OHnGG@a?OG?G??C`H?GQ??O,Q?OCa@S@@?E?I??T?@CO__OGCG?,false,false,false,false
19,8,611,21175,slike_min/graf_min_mu8_n19.png,slike_max/graf_max_mu8_n19.png,R???O@iGG@AGOG?G?_ChH?IA??O@A?,R?O?A@S@`?C?I??TO@CS??OGCGC_G?,true,true,false,false
20,8,618,23972,slike_min/graf_min_mu8_n20.png,slike_max/graf_max_mu8_n20.png,S???P@IGW@A?OG?G?_ChH?GA??O@A?@O?,SCO?A@?@_?C?I??DO@CS??OWCI?`G?H??,true,true,false,false
21,8,655,26874,slike_min/graf_min_mu8_n21.png,slike_max/graf_max_mu8_n21.png,T???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G,T?O?A@?`??C?I??C?PCS??OWCI?cG?h??_@?,true,true,false,false
22,8,693,30052,slike_min/graf_min_mu8_n22.png,slike_max/graf_max_mu8_n22.png,U???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G,U?OCA?A`??C?I??C?DCO??OGCI?cG?g??_@GS???,true,true,false,false
23,8,732,33383,slike_min/graf_min_mu8_n23.png,slike_max/graf_max_mu8_n23.png,V???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_,V?O?A?A`??C?G??C?D?O??OG?IOcG?GO?_@GT??CC?_?,true,true,false,false
24,8,772,36823,slike_min/graf_min_mu8_n24.png,slike_max/graf_max_mu8_n24.png,W???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@,W?OOA?A`??C??@?C?D?O??OG?IO_??GO?_@GS??CC?_?C_O,true,true,false,false
25,8,813,40160,slike_min/graf_min_mu8_n25.png,slike_max/graf_max_mu8_n25.png,X???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@,X?OOA?A`??C??@?C?P?O??OGGI?a??GO?_@GO??CC?_?C_O??_?,true,true,false,false
26,8,855,43820,slike_min/graf_min_mu8_n26.png,slike_max/graf_max_mu8_n26.png,Y???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_,Y?OOA?A`??C??@?C?P?O??OGGI?a??GO?_@GO??CC?_?C_O??_?_????,true,true,false,false
27,8,898,47973,slike_min/graf_min_mu8_n27.png,slike_max/graf_max_mu8_n27.png,Z???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_???G,Z?OOA?A???????GC?P?O??OGGI?a??GO?_?GO??CC?_?C_OG@_??C?OO???G,true,true,false,false
28,8,942,52292,slike_min/graf_min_mu8_n28.png,slike_max/graf_max_mu8_n28.png,[???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_???G???@,[?OOB?A???????GC?P?O???GGI?a??GO?_?G?D?CC?_?C_O?@_??C??O??GI????,true,true,false,false
29,8,987,56861,slike_min/graf_min_mu8_n29.png,slike_max/graf_max_mu8_n29.png,\???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_???G???@????C,\?OOA?A???????GC?@?O?G?GGI?A??GO?A?G?C?CC?_?C_O?@_C?C??O??GG_?C??OO??,true,true,false,false
30,8,1033,60366,slike_min/graf_min_mu8_n30.png,slike_max/graf_max_mu8_n30.png,]???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_???G???@????C????G,]COOA?????????GC?@??GG?GGI?A??GO@A?G?C?CC?_?C_O?@_C?C??O???G`????OO??G????,true,true,false,false
